"","age_group_from","age_group_to","contacts"
"1","[0,3)","[0,3)",2.74111228798602
"2","[0,3)","[3,5)",1.23731560095878
"3","[0,3)","[5,10)",1.25525811116649
"4","[0,3)","[10,15)",0.48130537761286
"5","[0,3)","[15,18)",0.145505697962095
"6","[0,3)","[18,40)",3.97918167602109
"7","[0,3)","[40,65)",1.44475321574694
"8","[0,3)","[65,Inf)",0.0732240225586801
"9","[3,5)","[0,3)",1.84979514884281
"10","[3,5)","[3,5)",5.49332093450152
"11","[3,5)","[5,10)",3.51257568321445
"12","[3,5)","[10,15)",0.831307573932225
"13","[3,5)","[15,18)",0.188761121005305
"14","[3,5)","[18,40)",3.57587488688148
"15","[3,5)","[40,65)",1.76146716488461
"16","[3,5)","[65,Inf)",0.186253042908829
"17","[5,10)","[0,3)",0.776461439288159
"18","[5,10)","[3,5)",1.45334727088333
"19","[5,10)","[5,10)",12.6750417655529
"20","[5,10)","[10,15)",3.25787114691078
"21","[5,10)","[15,18)",0.37208606659159
"22","[5,10)","[18,40)",2.81620929986206
"23","[5,10)","[40,65)",1.69582740362932
"24","[5,10)","[65,Inf)",0.209731311919675
"25","[10,15)","[0,3)",0.312051644562269
"26","[10,15)","[3,5)",0.360515840485725
"27","[10,15)","[5,10)",3.41470199894957
"28","[10,15)","[10,15)",18.3106559634693
"29","[10,15)","[15,18)",2.36885409780721
"30","[10,15)","[18,40)",3.63039446259026
"31","[10,15)","[40,65)",2.00939613218681
"32","[10,15)","[65,Inf)",0.132755771220156
"33","[15,18)","[0,3)",0.181771596876101
"34","[15,18)","[3,5)",0.157730406500985
"35","[15,18)","[5,10)",0.751454298718728
"36","[15,18)","[10,15)",4.5643461496953
"37","[15,18)","[15,18)",9.8181483253826
"38","[15,18)","[18,40)",6.13777823103679
"39","[15,18)","[40,65)",2.22662029904634
"40","[15,18)","[65,Inf)",0.10616711304678
"41","[18,40)","[0,3)",0.832854242880385
"42","[18,40)","[3,5)",0.500627154504169
"43","[18,40)","[5,10)",0.952913120183417
"44","[18,40)","[10,15)",1.17198833468889
"45","[18,40)","[15,18)",1.02834870389463
"46","[18,40)","[18,40)",8.8580208053923
"47","[18,40)","[40,65)",2.97992349863355
"48","[18,40)","[65,Inf)",0.196286707628074
"49","[40,65)","[0,3)",0.477144775821288
"50","[40,65)","[3,5)",0.389123901860944
"51","[40,65)","[5,10)",0.905422527986657
"52","[40,65)","[10,15)",1.02356706594552
"53","[40,65)","[15,18)",0.588649318215367
"54","[40,65)","[18,40)",4.70204069751886
"55","[40,65)","[40,65)",3.50648543929307
"56","[40,65)","[65,Inf)",0.334106690021927
"57","[65,Inf)","[0,3)",0.12134890745967
"58","[65,Inf)","[3,5)",0.206463134713665
"59","[65,Inf)","[5,10)",0.561899576362651
"60","[65,Inf)","[10,15)",0.339335999700732
"61","[65,Inf)","[15,18)",0.140840083333549
"62","[65,Inf)","[18,40)",1.55416793122816
"63","[65,Inf)","[40,65)",1.67652855932541
"64","[65,Inf)","[65,Inf)",0.629679553467693
